strategy_key,state,state_label,n_days,cum_return,ann_vol,max_drawdown,sharpe,excess_return,win_rate
交易记录杠铃,1,持续阴跌,357,-0.9781537013083701,2.589509783283439,-0.9859358709941057,0.39357135643386026,-0.6126927530792264,0.0896358543417367
交易记录科创,1,持续阴跌,357,-0.9815817252532023,2.5849457396162028,-0.9815817252532023,0.3400361452728682,-0.6161207770240587,0.12044817927170869
交易记录百亿etf一只,1,持续阴跌,357,-0.957452490484395,2.3542640524449396,-0.9747290325991349,0.3278003151372034,-0.5919915422552513,0.07563025210084033
交易记录旅游,1,持续阴跌,357,-0.9910510436280627,2.767134667228345,-0.9940340290853752,0.2871105033167042,-0.6255900953989191,0.0896358543417367
交易记录锤子策略,1,持续阴跌,357,-0.9581331428192057,2.3255491002746953,-0.9836509975063263,0.2866097992751126,-0.592672194590062,0.28291316526610644
交易记录游戏,1,持续阴跌,357,-0.9989453932712564,3.0883055902963186,-0.9994489599848544,0.19206070812957143,-0.6334844450421128,0.10364145658263306
交易记录均衡持仓,1,持续阴跌,357,-0.9978346357591958,2.9522218468866903,-0.9982435601894494,0.16914352166556218,-0.6323736875300522,0.09523809523809523
交易记录军工,1,持续阴跌,357,-0.9909624082276323,2.5856215645285148,-0.9936810802398166,0.1159767432929903,-0.6255014599984886,0.07563025210084033
交易记录通信,1,持续阴跌,357,-0.9974860596527736,2.7822201558969746,-0.9986260790107894,0.059568004492973954,-0.6320251114236299,0.09523809523809523
交易记录国企,1,持续阴跌,357,-0.9983720561053423,2.881760085568711,-0.9990956463799487,0.05611710493365997,-0.6329111078761986,0.09523809523809523
交易记录动量趋势,1,持续阴跌,151,0.0,0.0,0.0,0.0,0.1675279520677605,0.0
交易记录综合拆分1,1,持续阴跌,357,0.0,0.0,0.0,0.0,0.36546094822914366,0.0
交易记录etf动量改,1,持续阴跌,357,0.0,0.0,0.0,0.0,0.36546094822914366,0.0
交易记录行业,1,持续阴跌,357,0.0,0.0,0.0,0.0,0.36546094822914366,0.0
交易记录综合拆分2,1,持续阴跌,357,0.0,0.0,0.0,0.0,0.36546094822914366,0.0
交易记录双创,1,持续阴跌,357,-0.9982370913859435,2.6512388526691915,-0.9990442892335168,-0.22050626847539567,-0.6327761431567999,0.08683473389355742
交易记录全球etf,1,持续阴跌,357,-0.9991426534610733,2.6565540119966147,-0.9991937434130931,-0.35467530743416575,-0.6336817052319297,0.06442577030812324
交易记录桥水全天候,1,持续阴跌,357,-0.9992605350581831,2.611073707615074,-0.9997453680963911,-0.4548588368387608,-0.6337995868290395,0.09803921568627451
